cluster,customers,mean_balance,mean_purchases,mean_credit_limit
-1,1094,2600.54210975503,0,4806.413772090494
0,504,3043.639614749998,6414.310119047622,8985.218253968254
1,512,1091.9102947890638,409.44507812500007,4062.704190339844
2,452,210.72565694690246,228.01396017699128,4724.933628318584
3,2344,1925.8565101924069,1034.4849957337888,5531.197211017918
