cluster,customers,mean_balance,mean_purchases,mean_credit_limit
0,448,3072.538632198656,6571.446607142857,9000.669642857143
1,512,1091.9102947890638,409.44507812500007,4062.704190339844
2,676,442.54745732248483,152.45903846153854,4598.500986193787
3,3270,2236.3252912422,829.8584250764532,5427.118123127217
